排名,影片名称,电影类型,上映日期,累计票房,平均票价,场均人次
1,战狼2,动作,2017/7/27,568874.06 ,36,37
2,长津湖,剧情,2021/9/30,562412.99 ,47,24
3,你好，李焕英,喜剧,2021/2/12,541330.32 ,45,24
4,哪吒之魔童降世,动画,2019/7/26,503502.06 ,36,23
5,流浪地球,科幻,2019/2/5,468680.82 ,45,29
6,唐人街探案3,喜剧,2021/2/12,452234.56 ,48,29
7,复仇者联盟4：终局之战,动作,2019/4/24,425038.39 ,49,23
8,红海行动,动作,2018/2/16,365188.64 ,39,33
9,唐人街探案2,喜剧,2018/2/16,339768.81 ,39,39
10,美人鱼,喜剧,2016/2/8,339717.50 ,37,43
11,我和我的祖国,剧情,2019/9/30,317611.93 ,38,35
12,八佰,战争,2020/8/21,310232.37 ,38,20
13,我不是药神,剧情,2018/7/5,309996.11 ,35,27
14,中国机长,剧情,2019/9/30,291311.77 ,37,26
15,我和我的家乡,剧情,2020/10/1,282883.26 ,39,19
16,速度与激情8,动作,2017/4/14,267095.93 ,37,30
17,西虹市首富,喜剧,2018/7/27,254757.17 ,35,28
18,捉妖记,奇幻,2015/7/16,244146.23 ,37,41
19,速度与激情7,动作,2015/4/12,242658.65 ,39,42
20,复仇者联盟3：无限战争,动作,2018/5/11,239053.73 ,38,19
21,捉妖记2,喜剧,2018/2/16,223715.46 ,38,44
22,疯狂的外星人,喜剧,2019/2/5,221425.42 ,42,30
23,羞羞的铁拳,喜剧,2017/9/30,220174.87 ,33,25
24,海王,动作,2018/12/7,201319.84 ,36,18
25,变形金刚4：绝迹重生,科幻,2014/6/27,197752.24 ,42,50
26,前任3：再见前任,喜剧,2017/12/29,194174.02 ,35,29
27,毒液：致命守护者,动作,2018/11/9,187068.04 ,36,17
28,功夫瑜伽,喜剧,2017/1/28,175260.37 ,38,33
29,飞驰人生,喜剧,2019/2/5,172937.32 ,42,25
30,烈火英雄,灾难,2019/8/1,170718.90 ,36,19
31,侏罗纪世界2,动作,2018/6/15,169588.16 ,36,19
32,寻龙诀,动作,2015/12/18,168274.29 ,36,40
33,西游伏妖篇,奇幻,2017/1/28,165592.64 ,39,36
34,港囧,喜剧,2015/9/25,161410.36 ,33,40
35,姜子牙,动画,2020/10/1,160298.34 ,40,19
36,少年的你,剧情,2019/10/25,155902.59 ,36,16
37,变形金刚5：最后的骑士,动作,2017/6/23,155124.28 ,37,23
38,疯狂动物城,动画,2016/3/4,153452.85 ,34,28
39,魔兽,动作,2016/6/8,147229.79 ,37,25
40,我和我的父辈,剧情,2021/9/30,147050.20 ,43,16
41,复仇者联盟2：奥创纪元,科幻,2015/5/12,146439.29 ,40,29
42,夏洛特烦恼,喜剧,2015/9/30,144782.38 ,32,33
43,速度与激情：特别行动,动作,2019/8/23,143429.99 ,36,15
44,送你一朵小红花,剧情,2020/12/31,143252.44 ,37,12
45,芳华,战争,2017/12/15,142258.43 ,34,25
46,侏罗纪世界,动作,2015/6/10,142073.26 ,38,33
47,蜘蛛侠：英雄远征,动作,2019/6/28,141768.27 ,36,17
48,头号玩家,科幻,2018/3/30,139666.06 ,36,18
49,速度与激情9,动作,2021/5/21,139233.39 ,39,13
50,后来的我们,爱情,2018/4/28,136152.53 ,34,21
